label,n_blocks,mean_minutes,median_minutes,sd_minutes,min_minutes,max_minutes,mean_uncertainty,pct_high_confidence
0,239,12.82,0.0,41.21,0.0,240.0,27.84,74.9
1,535,61.12,0.0,80.47,0.0,240.0,75.06,47.9
