method,V1_mean_label0_min,V2_pct_under_5min,mean_label1_min,median_label1_min,n_label0,n_label1
block_excess,12.428685361985348,75.70621468926554,38.14373444249378,5.037836413857594,177,260
fused_lasso,49.824776837613356,5.084745762711865,85.6120017856151,74.72406419532231,177,260
threshold_50,189.83050847457628,6.214689265536723,228.41923076923078,240.0,177,260
threshold_100,175.10169491525423,15.254237288135593,224.06153846153848,240.0,177,260
threshold_200,154.87570621468927,22.598870056497177,211.68076923076924,240.0,177,260
slope,62.429378531073446,2.2598870056497176,73.27692307692308,73.5,177,260
