room_type,n_blocks,n_subjects,mean_minutes,median_minutes,sd_minutes,mean_uncertainty,median_uncertainty,mean_co2
shared,138,6,34.09179216675493,0.0,50.204389126027856,46.38731717623901,0.0,1251.3837254854432
single,397,18,39.863756442166235,0.0,57.36672664446299,65.46499289758178,46.18956204913877,1637.477847454481
