variant_id,variant,C1_in_mean_label0_min,C2_in_pct_under_5min,C1_OOS_mean_label0_min,C2_OOS_pct_under_5min,label1_mean_minutes,label1_median_minutes,label1_nonzero_pct,n_oos_empty_blocks,pass_C1_OOS_lt20,pass_C2_OOS_gt50
A0,"Raw excess + global floor (no carryover, no gate)",16.993798906445335,80.7909604519774,49.187695538370896,59.64912280701754,87.37069404543946,53.35679989007501,61.53846153846154,57,NO,YES
A1,+ Carryover correction,11.753673916221425,84.18079096045197,27.797910431783567,66.66666666666666,75.17781478677081,48.39653339431723,60.0,57,NO,YES
A2,+ Innovation gate/cap,11.180797739274869,85.31073446327684,23.891250649438422,71.9298245614035,72.00479266549529,47.18918268021521,59.23076923076923,57,NO,YES
A3,+ Two-regime floor (final),11.741632627913976,81.92090395480226,19.61497015685295,78.94736842105263,71.48956447147198,42.736291998608465,60.0,57,YES,YES
