group,n,coverage80,coverage80_conf,mean_ci_width,mean_ci_width_conf,MAE,bias
continuous,115,0.8260869565217391,0.7916666666666666,107.27913043478262,107.27886956521739,35.48052173913044,-26.498782608695652
fragmented,48,0.9375,0.9583333333333334,155.05645833333332,155.05666666666667,51.904374999999995,-40.39354166666667
stress,120,0.8166666666666667,0.8571428571428571,150.98166666666665,150.98183333333333,44.80441666666666,-4.6649166666666675
overall,283,0.8409893992932862,0.8508771929824561,133.91381625441696,133.91381625441696,42.21978798586572,-19.59731448763251
