subject_id,block_date,daily_minutes,daily_minutes_p10,daily_minutes_p90,mean_block_uncertainty,n_blocks_present,n_blocks_total,fraction_of_day
37,2025-03-25,203.11834627506835,0.0,452.61939113418777,75.4365651890313,5,6,0.14105440713546413
37,2025-03-26,516.1711645246253,0.0,780.5118378062139,130.08530630103564,6,6,0.35845219758654534
37,2025-03-27,0.0,0.0,0.0,0.0,6,6,0.0
37,2025-03-28,264.188768977563,0.0,598.6484056709734,119.72968113419468,5,5,0.18346442290108542
37,2025-03-29,268.33713146369564,0.0,471.62446659138004,78.60407776523,5,6,0.186345230183122
37,2025-03-30,0.0,0.0,0.0,0.0,6,6,0.0
38,2025-03-25,192.33118258472655,0.0,373.61229837329785,75.4365651890313,5,6,0.13356332123939343
38,2025-03-26,516.1711645246253,0.0,778.9866264660584,130.08530630103564,5,6,0.35845219758654534
38,2025-03-27,0.0,0.0,0.0,0.0,4,5,0.0
38,2025-03-28,264.188768977563,0.0,598.6484056709734,99.77473427849556,5,6,0.18346442290108542
38,2025-03-29,268.33713146369564,0.0,471.62446659138004,94.32489331827601,3,5,0.186345230183122
38,2025-03-30,0.0,0.0,0.0,0.0,6,6,0.0
42,2025-02-24,0.0,0.0,48.75136169469041,24.375680847345205,1,2,0.0
46,2025-02-18,12.150232788597357,0.0,165.45458064012962,27.575763440021603,3,6,0.008437661658748164
46,2025-02-19,110.33456951343211,0.0,251.71705417192953,41.95284236198825,2,6,0.0766212288287723
46,2025-02-20,418.85625610963655,189.09950668952314,480.0,145.45024665523843,2,2,0.2908724000761365
46,2025-02-21,0.0,0.0,0.0,0.0,0,2,0.0
46,2025-02-22,0.0,0.0,0.0,0.0,1,6,0.0
46,2025-02-23,55.19039762847147,0.0,143.04474276699338,23.840790461165565,3,6,0.03832666501977186
46,2025-02-24,19.885458080672088,0.0,230.91481211959697,46.18296242391939,3,5,0.013809345889355618
73,2025-02-25,0.0,0.0,0.0,0.0,0,6,0.0
73,2025-02-26,45.26471957794526,0.0,134.234555920475,22.372425986745835,1,6,0.031433833040239764
73,2025-02-27,0.0,0.0,0.0,0.0,0,6,0.0
73,2025-02-28,0.0,0.0,35.24970111149543,5.874950185249239,1,6,0.0
73,2025-03-01,0.0,0.0,30.017570410639987,5.002928401773331,1,6,0.0
73,2025-03-02,0.0,0.0,0.0,0.0,1,6,0.0
75,2025-02-27,173.11229932472008,8.61428473663361,512.9831900145438,84.06148421298504,5,6,0.12021687453105562
75,2025-02-28,48.26479608426999,0.0,135.1231984414298,22.52053307357163,3,6,0.033517219502965274
75,2025-03-01,0.0,0.0,0.0,0.0,0,6,0.0
75,2025-03-02,2.7426289642354025,0.0,45.02804642511405,7.504674404185675,1,6,0.0019046034473856961
75,2025-03-03,129.47562037916762,0.0,343.0913261351281,57.18188768918802,6,6,0.08991362526331086
75,2025-03-04,27.19785338151184,0.0,135.62894050049394,22.60482341674899,5,6,0.018887398181605446
76,2025-02-27,173.11229932472008,8.61428473663361,512.9831900145438,84.06148421298504,6,6,0.12021687453105562
76,2025-02-28,48.26479608426999,0.0,135.1231984414298,22.52053307357163,6,6,0.033517219502965274
76,2025-03-01,0.0,0.0,0.0,0.0,6,6,0.0
76,2025-03-02,2.7426289642354025,0.0,45.02804642511405,7.504674404185675,6,6,0.0019046034473856961
76,2025-03-03,100.6479707120219,0.0,259.75367978073774,57.18188768918802,5,6,0.06989442410557077
76,2025-03-04,27.19785338151184,0.0,135.62894050049394,22.60482341674899,4,6,0.018887398181605446
95,2025-02-25,0.0,0.0,0.0,0.0,3,6,0.0
95,2025-02-26,45.26471957794526,0.0,134.234555920475,22.372425986745835,3,6,0.031433833040239764
95,2025-02-27,0.0,0.0,0.0,0.0,3,6,0.0
95,2025-02-28,0.0,0.0,0.0,5.874950185249239,3,6,0.0
95,2025-03-01,0.0,0.0,30.017570410639987,5.002928401773331,5,6,0.0
95,2025-03-02,0.0,0.0,0.0,0.0,4,6,0.0
96,2025-02-04,990.8710847888376,207.60718170018765,1275.6942403917062,178.01450978191974,6,6,0.6881049199922483
96,2025-02-05,1186.0523398407945,277.21245064948465,1428.3032623922397,191.84846862379254,6,6,0.823647458222774
96,2025-02-06,1235.7022254122173,274.4318299342546,1409.6365995418143,189.2007949345933,6,6,0.858126545425151
96,2025-02-07,627.1849600219316,73.94809987975704,986.0221578430248,182.41481159265356,5,5,0.4355451111263414
96,2025-02-08,1334.1594118104788,342.40562835221033,1440.0,182.9323952746316,6,6,0.9264995915350548
96,2025-02-09,775.0062391030841,145.2724443223661,1087.7102394608953,157.07296585642152,6,6,0.5381987771549196
96,2025-02-10,419.55637764560356,105.51646664644983,480.0,187.2417666767751,2,2,0.2913585955872247
117,2025-02-27,0.0,0.0,44.306377701203346,7.384396283533891,3,6,0.0
117,2025-02-28,1.6108050240335106,0.0,45.99216062990126,9.19843212598025,3,5,0.0011186146000232713
117,2025-03-01,3.0638591082310587,0.0,95.9279220304723,15.987987005078717,5,6,0.0021276799362715685
117,2025-03-02,69.6059722611371,21.295561732146584,169.39633585547372,24.683462353887858,5,6,0.048337480736900765
117,2025-03-03,0.0,0.0,12.963698666183044,2.5927397332366087,3,5,0.0
117,2025-03-04,475.6830919768416,231.66604812916648,775.6387018955412,90.66210896106246,4,6,0.3303354805394733
117,2025-03-05,457.9739754818763,327.86403843593143,629.9086019929503,75.51114088925469,3,4,0.31803748297352524
132,2025-02-19,265.28960003089253,99.28916502545101,549.558320337439,75.04485921866466,3,6,0.18422888891034203
132,2025-02-20,291.9182473841841,157.57517021230743,594.8807492602729,72.88426317466092,3,6,0.20272100512790564
132,2025-02-21,154.98676370788445,16.845441978831836,428.57508632329973,68.62160739074466,3,6,0.1076296970193642
132,2025-02-22,342.8178875001216,145.48176476125934,766.2464666046552,103.46078364056598,4,6,0.23806797743064004
132,2025-02-23,463.0349753972086,283.5334663010492,710.7555410828455,71.20367913029939,3,6,0.32155206624806154
132,2025-02-24,280.8155689860431,173.72905446764946,480.0,153.13547276617527,2,2,0.19501081179586327
133,2025-02-19,136.4165954917305,36.23313988414976,326.090451857066,150.0897184373293,2,3,0.0947337468692573
133,2025-02-20,291.9182473841841,157.57517021230743,594.8807492602729,72.88426317466092,3,6,0.20272100512790564
133,2025-02-21,154.98676370788445,16.845441978831836,428.57508632329973,82.3459288688936,5,5,0.1076296970193642
133,2025-02-22,342.8178875001216,145.48176476125934,766.2464666046552,103.46078364056598,5,6,0.23806797743064004
133,2025-02-23,463.0349753972086,283.5334663010492,710.7555410828455,71.20367913029939,5,6,0.32155206624806154
133,2025-02-24,505.39276446440596,326.9860537283323,720.0,65.50232437861128,3,6,0.3509671975447264
151,2025-02-04,990.8710847888376,207.60718170018765,1275.6942403917062,178.01450978191974,6,6,0.6881049199922483
151,2025-02-05,733.059428729297,186.65095643402094,948.3032623922398,188.6402701694531,4,5,0.5090690477286784
151,2025-02-06,770.2836093069602,136.7118690787749,929.6365995418143,189.2007949345933,4,6,0.5349191731298335
151,2025-02-07,698.5827045508262,73.94809987975704,1122.101323154111,174.69220387905898,6,6,0.485126878160296
151,2025-02-08,1334.1594118104788,342.40562835221033,1440.0,182.9323952746316,6,6,0.9264995915350548
151,2025-02-09,732.4783049583722,145.2724443223661,996.3202856321075,157.07296585642152,5,6,0.5086654895544251
151,2025-02-10,976.6096223455487,199.7022313152931,1293.184765192057,182.24708897946064,6,6,0.6782011266288532
154,2025-02-27,0.0,0.0,44.306377701203346,7.384396283533891,5,6,0.0
154,2025-02-28,1.6108050240335106,0.0,45.99216062990126,7.6653601049835425,6,6,0.0011186146000232713
154,2025-03-01,3.0638591082310587,0.0,95.9279220304723,15.987987005078717,6,6,0.0021276799362715685
154,2025-03-02,69.6059722611371,21.295561732146584,169.39633585547372,24.683462353887858,5,6,0.048337480736900765
154,2025-03-03,0.0,0.0,16.307256729391618,2.71787612156527,4,6,0.0
154,2025-03-04,332.24985798529156,171.87636222088997,480.0,72.75246793493025,3,5,0.23072906804534138
154,2025-03-05,601.1874504253863,401.4720636240566,912.2064922660383,85.1224047736636,6,6,0.4174912850176294
324,2025-02-25,195.04416122097268,96.40292899544178,454.43610246349687,179.01658673402756,2,2,0.13544733418123103
324,2025-02-26,67.11602236509725,0.0,203.2265789062523,50.80664472656308,4,4,0.04660834886465087
324,2025-02-27,20.326609196121083,0.0,199.4041408203292,33.234023470054865,6,6,0.014115700830639642
324,2025-02-28,0.0,0.0,0.0,0.0,3,6,0.0
324,2025-03-01,0.0,0.0,0.0,0.0,0,5,0.0
324,2025-03-02,90.0404382283829,11.02280967844348,260.46217613187133,41.573227742237975,2,6,0.06252808210304368
325,2025-02-25,256.47876805007684,102.92114310138564,620.3456534799177,86.23741839642202,3,6,0.17811025559033114
325,2025-02-26,224.70918116556484,99.3156160297352,606.2364268539583,84.48680180403717,4,6,0.1560480424760867
325,2025-02-27,15.572157591431049,0.0,152.83968397980425,33.234023470054865,3,6,0.010813998327382673
325,2025-02-28,0.0,0.0,0.0,0.0,3,5,0.0
325,2025-03-01,0.0,0.0,0.0,0.0,6,6,0.0
325,2025-03-02,0.0,0.0,0.0,0.0,2,2,0.0
399,2025-02-06,161.5797560076121,76.53879876991796,240.0,27.24353353834701,2,6,0.11220816389417508
399,2025-02-07,0.0,0.0,17.509514715752182,4.3773786789380456,4,4,0.0
399,2025-02-08,0.0,0.0,0.0,0.0,0,4,0.0
399,2025-02-09,0.0,0.0,0.0,0.0,0,5,0.0
399,2025-02-10,152.82755998817387,60.36621465294623,267.6551786836942,51.822241007687,3,4,0.10613024999178741
399,2025-02-11,0.20511942407597616,0.0,90.07944181828933,15.01324030304822,6,6,0.00014244404449720568
399,2025-02-12,68.51649567925352,0.0,150.09436746507612,30.018873493015224,2,5,0.04758089977725939
400,2025-02-06,161.5797560076121,76.53879876991796,240.0,27.24353353834701,5,6,0.11220816389417508
400,2025-02-07,0.0,0.0,17.509514715752182,5.836504905250727,2,3,0.0
400,2025-02-08,0.0,0.0,0.0,0.0,3,4,0.0
400,2025-02-09,0.0,0.0,0.0,0.0,5,5,0.0
400,2025-02-10,152.82755998817387,60.36621465294623,267.6551786836942,51.822241007687,3,4,0.10613024999178741
400,2025-02-11,0.20511942407597616,0.0,90.07944181828933,15.01324030304822,5,6,0.00014244404449720568
400,2025-02-12,68.51649567925352,0.0,150.09436746507612,30.018873493015224,4,5,0.04758089977725939
471,2025-02-27,612.6478839021491,332.2402517836572,853.1263652408677,86.81435224286842,6,6,0.42544991937649246
471,2025-02-28,511.6242772090896,260.5003430896087,760.1107399807934,83.26839948186414,6,6,0.3552946369507567
471,2025-03-01,310.27613138394946,182.2832744629805,447.1461547336804,66.21572006767498,2,4,0.21546953568329824
471,2025-03-02,121.41349188150397,70.00448166871494,177.49684824885162,17.91539443002278,1,6,0.0843149249177111
471,2025-03-03,495.8042819859221,268.950765366706,833.0157003226834,94.0108224926629,6,6,0.34430852915689036
471,2025-03-04,460.4574087914268,270.13853930189583,719.9121134665515,74.96226236077595,4,6,0.3197620894384909
472,2025-02-27,550.442758864916,316.56365020900205,713.6736573255844,86.81435224286842,4,6,0.3822519158784139
472,2025-02-28,358.7603909980337,209.0968350672665,478.5517738527107,134.7274693927221,2,2,0.24913916041530118
472,2025-03-01,0.0,0.0,0.0,0.0,2,2,0.0
472,2025-03-02,121.41349188150397,70.00448166871494,177.49684824885162,17.91539443002278,5,6,0.0843149249177111
472,2025-03-03,489.91502939280093,268.950765366706,779.4761547793103,94.0108224926629,4,6,0.3402187704116673
472,2025-03-04,460.4574087914268,270.13853930189583,719.9121134665515,74.96226236077595,6,6,0.3197620894384909
474,2025-02-05,414.4216427412339,218.51875115554327,750.9171011629204,88.73305833456284,6,6,0.2877928074591902
474,2025-02-06,539.4087446485753,259.68129138339873,996.6555365477847,122.82904086073098,6,6,0.3745894060059551
474,2025-02-07,111.27209088513213,42.65370053041917,249.74845552070562,41.41895099805729,2,5,0.07727228533689731
474,2025-02-08,0.0,0.0,0.0,0.0,0,6,0.0
474,2025-02-09,395.59205114511815,286.43546643172783,529.4681260526322,40.50544327015073,3,6,0.2747167021841098
474,2025-02-10,466.9102918320683,220.3514561916192,800.2403852679176,96.64815484604975,6,6,0.3242432582167141
506,2025-04-08,280.54559423474313,159.64331996581717,582.5139564767949,70.4784394184963,3,6,0.19482332932968274
506,2025-04-09,118.27397167233553,44.7228375234987,253.15206048251167,34.738203826502165,2,6,0.08213470255023302
506,2025-04-10,0.0,0.0,40.17132924397427,6.695221540662378,3,6,0.0
506,2025-04-11,0.0,0.0,0.0,0.0,0,4,0.0
506,2025-04-12,0.0,0.0,0.0,0.0,0,6,0.0
506,2025-04-13,153.4187979239348,89.19879254375353,239.5470970804754,30.06966090734437,1,5,0.10654083189162139
507,2025-04-08,280.54559423474313,159.64331996581717,582.5139564767949,70.4784394184963,5,6,0.19482332932968274
507,2025-04-09,118.27397167233553,44.7228375234987,253.15206048251167,34.738203826502165,6,6,0.08213470255023302
507,2025-04-10,0.0,0.0,40.17132924397427,6.695221540662378,6,6,0.0
507,2025-04-11,0.0,0.0,0.0,0.0,5,6,0.0
507,2025-04-12,0.0,0.0,0.0,0.0,4,6,0.0
507,2025-04-13,153.4187979239348,89.19879254375353,254.94008747033627,27.623549154430453,5,6,0.10654083189162139
508,2025-02-06,243.7361373267711,125.50068495036885,396.17677924312625,135.3380471463787,2,2,0.16926120647692436
508,2025-02-07,119.79617229343951,42.65370053041917,287.79905853722954,61.2863395017026,4,4,0.08319178631488855
508,2025-02-09,395.59205114511815,286.43546643172783,529.4681260526322,81.01088654030146,3,3,0.2747167021841098
508,2025-02-10,175.77329090927967,69.79628524084794,366.96746844499455,99.05706106804887,3,3,0.12206478535366644
