subject_id,n_days,mean_daily_minutes,median_daily_minutes,sd_daily_minutes,mean_daily_p10,mean_daily_p90,mean_uncertainty
96,7,952.1986515147807,1001.9835117910175,351.2652623418306,197.64943718528738,1177.134973128056,185.815484468795
151,7,899.9496232859798,756.4787625909337,241.61810134264877,179.441520965414,1165.0644071576842,183.8318095612977
471,6,424.93093010599586,484.33631371270525,177.90396338909912,244.00443000402075,627.4858690267534,67.49036266803085
472,6,340.4118208405664,423.2249218090793,227.47237026218875,203.35631293439474,478.93754569889876,64.14924214704669
474,6,311.72848538224446,398.8615740379437,205.07531839591988,160.20398215993552,531.4488284256032,63.0290744636123
133,6,290.3978821747584,291.9122660077233,157.14482251446327,150.20802751880095,559.0821775287637,87.20495703386753
132,6,274.24156102695474,271.2771082032817,108.75683607836402,132.9477788892077,555.0631849525406,87.26953143627122
37,6,248.02928899968734,280.1753295275031,228.9790647533803,14.603613933756527,399.45732809311903,67.51833214076838
38,6,245.39409653621485,272.2697521370857,229.16555381591692,14.603613933756527,387.35309982537655,66.80895235989375
508,4,225.44057082488365,196.95307602553038,122.97968540635802,123.62311920407946,382.41565304863843,92.52273356113672
117,7,155.63464295539538,0.0,243.99576486468038,83.68269500104459,238.54187306269205,29.608005223489307
154,7,152.438821445426,0.0,251.11042647708237,84.30804106618707,235.24099343540257,28.16938047488122
46,7,96.95298836072156,34.461759264444815,164.32056973275033,33.04681354799297,162.69255133463236,34.28765000243026
506,6,80.08040009868108,46.70228896381709,100.31705305186247,43.59123844049788,170.4549839900435,21.999450269845653
507,6,80.08040009868108,46.70228896381709,100.31705305186247,43.59123844049788,170.4549839900435,21.143957591590937
325,6,71.09985100433748,0.0,111.56751280363088,29.18175295273248,228.50050752294098,33.43405879338136
399,7,58.67696896896729,0.0,79.42516986666962,29.429034795863267,88.25751551914493,12.219950741665743
400,7,58.67696896896729,0.0,79.42516986666962,29.429034795863267,88.25751551914493,12.219950741665743
75,6,54.5527443404828,34.92301146122938,60.20296689194302,0.0,155.60502726353243,25.934171210588733
324,6,50.86554728509359,18.878566512011293,73.70513394731556,13.07489282017641,182.5760553546128,53.04062265674065
76,6,48.983013968789386,34.92301146122938,52.03152851452552,0.0,142.5017497079578,25.934171210588733
73,6,4.252587362903703,0.0,10.416669125721985,0.0,19.281040354491694,3.2135067257486156
95,6,4.252587362903703,0.0,10.416669125721985,0.0,19.281040354491694,3.2135067257486156
42,1,0.0,0.0,,0.0,23.94061110842398,11.97030555421199
