group,n,coverage80,coverage80_conf,mean_ci_width,mean_ci_width_conf,MAE,bias
continuous,115,0.9652173913043478,0.9375,126.76113043478261,126.76104347826087,32.04,-23.956
fragmented,48,1.0,1.0,159.86458333333334,159.86479166666666,43.85666666666666,-34.31541666666667
stress,120,0.875,0.9047619047619048,152.71283333333335,152.71341666666666,40.33691666666667,-5.824416666666667
overall,283,0.9328621908127208,0.9385964912280702,143.38010600706713,143.38035335689045,37.56236749116608,-18.0247703180212
